REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C131,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1930.000,-3650.000,0.000,NO
C132,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1930.000,-3590.000,0.000,NO
C133,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2640.000,-4325.000,90.000,YES
C134,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,1885.000,-3760.000,180.000,YES
C135,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2479.252,-4210.890,0.000,YES
C136,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2591.799,-4307.551,90.000,YES
C137,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2560.260,-4307.551,90.000,YES
C138,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2480.449,-4386.299,180.000,YES
C139,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2675.000,-4720.000,180.000,YES
C140,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2844.642,-4590.949,270.000,YES
C141,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2717.740,-4590.949,270.000,YES
C142,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2686.240,-4559.551,270.000,YES
C143,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2850.579,-4678.988,90.000,YES
C144,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2560.260,-4654.000,90.000,YES
C145,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2796.531,-4260.291,0.000,YES
C146,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2700.000,-4270.150,270.000,YES
C147,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2528.740,-4528.051,90.000,YES
C148,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2528.740,-4591.051,270.000,YES
C149,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2560.240,-4591.051,270.000,YES
C150,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2591.740,-4591.051,270.000,YES
C151,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1670.000,-4790.000,0.000,YES
C152,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1647.000,-4730.000,0.000,YES
C153,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1647.000,-4670.000,0.000,YES
C154,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1731.300,-3357.200,90.000,YES
C155,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1673.000,-3358.000,90.000,YES
C156,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1305.000,-3130.000,270.000,YES
C157,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1365.000,-3130.000,270.000,YES
C158,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1670.000,-4610.000,0.000,YES
C159,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1670.000,-4550.000,0.000,YES
C160,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1670.000,-4490.000,0.000,YES
C161,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1245.000,-3130.000,270.000,YES
C162,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,1582.000,-3364.000,90.000,YES
C163,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,2637.598,-4571.748,270.000,YES
C164,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,2451.598,-4631.748,270.000,YES
C165,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,2499.500,-4467.000,180.000,YES
C174,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2560.260,-4528.051,90.000,YES
C175,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2852.598,-4264.252,270.000,YES
C176,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2796.551,-4323.260,0.000,YES
C177,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2560.240,-4370.551,270.000,YES
C178,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2591.740,-4370.551,270.000,YES
C179,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2733.488,-4512.260,0.000,YES
C180,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2733.551,-4543.760,0.000,YES
C181,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2733.551,-4354.701,0.000,YES
C182,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2733.551,-4386.260,0.000,YES
C183,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2733.551,-4417.760,0.000,YES
C184,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2528.740,-4370.551,270.000,YES
C185,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2591.760,-4528.051,90.000,YES
C186,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2812.260,-4590.949,90.000,YES
C187,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2865.000,-4410.000,180.000,YES
C188,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2512.949,-4417.701,0.000,YES
C189,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2827.949,-4543.740,180.000,YES
C190,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2780.760,-4590.949,90.000,YES
C191,CAP_NP_SMC0402_OCTO_IA_1UF/25V/,,,SMC0402_OCTO_IA,2749.260,-4590.949,90.000,YES
C192,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3161.598,-4028.248,180.000,YES
C193,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3161.598,-4088.248,180.000,YES
C194,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3161.598,-4148.252,180.000,YES
C195,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3159.098,-3968.220,180.000,YES
C196,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3256.000,-3867.000,180.000,YES
C197,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3256.000,-3809.000,180.000,YES
C198,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3170.000,-4300.000,180.000,YES
C199,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3005.000,-4250.000,270.000,YES
C200,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3065.000,-4250.000,270.000,YES
C201,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3256.000,-3749.000,180.000,YES
C202,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3060.000,-4055.000,270.000,YES
C203,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3065.000,-4390.000,270.000,YES
C204,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3005.000,-4390.000,270.000,YES
C205,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3170.000,-4240.000,180.000,YES
C206,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,3176.098,-4367.248,180.000,YES
C207,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,2636.500,-4461.748,270.000,YES
C208,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,2720.748,-4464.252,0.000,YES
C209,CAP_NP_C0603_22U/4V/X5R/0603,,,C0603,2829.748,-4464.252,180.000,YES
C214,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2655.252,-1596.748,90.000,NO
C215,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2615.252,-1596.748,90.000,NO
C216,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2469.000,-1101.000,0.000,YES
C217,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1310.252,-1230.748,180.000,NO
C218,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,1675.000,-874.000,180.000,YES
C219,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1720.000,-1070.000,270.000,YES
C220,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1725.000,-984.000,180.000,YES
C221,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1765.000,-874.000,180.000,YES
C222,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1540.000,-889.000,180.000,YES
C223,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1725.000,-799.000,180.000,YES
C224,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1425.000,-915.000,270.000,YES
C225,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,1490.000,-944.000,270.000,YES
C227,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3435.000,-1285.000,180.000,YES
C229,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3435.000,-1180.000,180.000,YES
C234,CAP_NP_C0402_X_0.01U/25V/X7R/04,,,C0402,1310.000,-1109.000,0.000,NO
C235,CAP_NP_C0402_0.01U/25V/X7R/0402,,,C0402,1310.000,-1190.000,180.000,NO
C236,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3265.000,-1030.000,90.000,NO
C237,CAP_NP_C0402_X_100P/50V/NPO/040,,,C0402,3250.000,-1435.000,270.000,NO
C238,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3160.000,-1480.000,90.000,YES
C239,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3335.000,-1490.000,0.000,YES
C240,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3100.000,-1845.000,180.000,YES
C241,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2625.000,-10.000,90.000,NO
C242,CAP_NP_C0402_10P/50V/NPO/0402,,,C0402,3100.000,-2000.000,180.000,YES
C243,CAP_NP_C0402_10P/50V/NPO/0402,,,C0402,3100.000,-1950.000,180.000,YES
C244,CAP_NP_C0402_10P/50V/NPO/0402,,,C0402,2840.000,-1640.000,0.000,NO
C245,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2520.000,-10.000,90.000,NO
C246,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2045.000,-1930.000,90.000,NO
C247,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2903.642,-404.748,0.000,YES
C248,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3040.000,-650.000,180.000,YES
C249,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2935.252,-616.748,90.000,NO
C250,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2910.000,-960.000,270.000,YES
C251,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,2960.000,-965.000,270.000,YES
C252,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2815.252,-626.748,0.000,NO
C253,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2795.748,-631.252,0.000,YES
C254,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2735.252,-621.748,90.000,YES
C256,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2715.000,-618.000,90.000,NO
C257,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2653.000,-601.000,0.000,YES
C258,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3090.252,-541.748,270.000,NO
C259,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2191.000,-1392.000,180.000,YES
C260,CAP_NP_C0402_X_1U/16V/X5R/0402,,,C0402,2817.772,-1107.618,0.000,YES
C261,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2050.252,-1708.748,0.000,NO
C262,CAP_NP_C0603_4.7U/10V/X5R/0603,,,C0603,2758.500,-1265.000,180.000,YES
C263,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2530.000,-1296.000,180.000,YES
C264,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2758.000,-1170.000,180.000,YES
C265,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2770.000,-920.000,0.000,YES
C266,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2622.500,-1000.000,90.000,YES
C267,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2455.000,-915.000,0.000,YES
C268,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2520.000,-915.000,180.000,YES
C269,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2690.000,-1140.000,270.000,YES
C270,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2680.500,-1015.000,0.000,YES
C271,CAP_NP_C0402_X_0.01U/16V/X7R/04,,,C0402,2690.000,-1070.000,90.000,YES
C272,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,2567.248,-1199.748,180.000,YES
C273,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2680.252,-974.748,0.000,YES
C274,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2675.000,-1200.000,0.000,YES
C275,CAP_NP_C0402_X_0.01U/16V/X7R/04,,,C0402,2519.000,-1013.000,180.000,YES
C276,CAP_NP_C0402_X_0.01U/16V/X7R/04,,,C0402,2580.000,-1000.000,90.000,YES
C277,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,2592.000,-1104.000,180.000,YES
C278,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2469.000,-970.000,270.000,YES
C279,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2438.000,-1221.000,90.000,YES
C280,CAP_NP_C0402_0.01U/25V/X7R/0402,,,C0402,2498.000,-1154.000,90.000,YES
C281,CAP_NP_C0402_0.01U/25V/X7R/0402,,,C0402,2438.000,-1156.000,270.000,YES
C282,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2205.000,-1339.000,270.000,YES
C283,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2260.000,-1369.000,0.000,YES
C284,CAP_NP_C0402_100P/50V/NPO/0402,,,C0402,2260.000,-1329.000,0.000,YES
C285,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,2525.248,-421.748,0.000,NO
C286,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2525.248,-461.748,180.000,NO
C287,CAP_NP_C0402_100P/50V/NPO/0402,,,C0402,2525.248,-501.748,180.000,NO
C288,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2600.248,-416.748,180.000,NO
C289,CAP_NP_C0402_100P/50V/NPO/0402,,,C0402,2600.039,-457.748,180.000,NO
